uri,kind,label,lang,type
http://www.wikidata.org/prop/direct/P279,relation,subclass of,,relation
http://www.wikidata.org/prop/direct/P282,relation,P282,,relation
http://www.wikidata.org/prop/direct/P2852,relation,P2852,,relation
http://www.wikidata.org/prop/direct/P2853,relation,P2853,,relation
http://www.wikidata.org/prop/direct/P286,relation,P286,,relation
http://www.wikidata.org/prop/direct/P2860,relation,P2860,,relation
http://www.wikidata.org/prop/direct/P2868,relation,P2868,,relation
http://www.wikidata.org/prop/direct/P287,relation,P287,,relation
http://www.wikidata.org/prop/direct/P289,relation,P289,,relation
http://www.wikidata.org/prop/direct/P2894,relation,P2894,,relation
http://www.wikidata.org/prop/direct/P291,relation,P291,,relation
http://www.wikidata.org/prop/direct/P2922,relation,P2922,,relation
http://www.wikidata.org/prop/direct/P2925,relation,P2925,,relation
http://www.wikidata.org/prop/direct/P2936,relation,P2936,,relation
http://www.wikidata.org/prop/direct/P2989,relation,P2989,,relation
http://www.wikidata.org/prop/direct/P30,relation,P30,,relation
http://www.wikidata.org/prop/direct/P3018,relation,P3018,,relation
http://www.wikidata.org/prop/direct/P306,relation,P306,,relation
http://www.wikidata.org/prop/direct/P3075,relation,P3075,,relation
http://www.wikidata.org/prop/direct/P3091,relation,P3091,,relation
http://www.wikidata.org/prop/direct/P3092,relation,P3092,,relation
http://www.wikidata.org/prop/direct/P3095,relation,P3095,,relation
http://www.wikidata.org/prop/direct/P31,relation,is a,,relation
http://www.wikidata.org/prop/direct/P3103,relation,P3103,,relation
http://www.wikidata.org/prop/direct/P3150,relation,P3150,,relation
http://www.wikidata.org/prop/direct/P3156,relation,P3156,,relation
http://www.wikidata.org/prop/direct/P3161,relation,P3161,,relation
http://www.wikidata.org/prop/direct/P3174,relation,P3174,,relation
http://www.wikidata.org/prop/direct/P3179,relation,P3179,,relation
http://www.wikidata.org/prop/direct/P3216,relation,P3216,,relation
http://www.wikidata.org/prop/direct/P3275,relation,P3275,,relation
http://www.wikidata.org/prop/direct/P3300,relation,P3300,,relation
http://www.wikidata.org/prop/direct/P3301,relation,P3301,,relation
http://www.wikidata.org/prop/direct/P3306,relation,P3306,,relation
http://www.wikidata.org/prop/direct/P3320,relation,P3320,,relation
http://www.wikidata.org/prop/direct/P3342,relation,P3342,,relation
http://www.wikidata.org/prop/direct/P3373,relation,P3373,,relation
http://www.wikidata.org/prop/direct/P3402,relation,P3402,,relation
http://www.wikidata.org/prop/direct/P3403,relation,P3403,,relation
http://www.wikidata.org/prop/direct/P3428,relation,P3428,,relation
http://www.wikidata.org/prop/direct/P3438,relation,P3438,,relation
http://www.wikidata.org/prop/direct/P344,relation,P344,,relation
http://www.wikidata.org/prop/direct/P3448,relation,P3448,,relation
http://www.wikidata.org/prop/direct/P3461,relation,P3461,,relation
http://www.wikidata.org/prop/direct/P35,relation,P35,,relation
http://www.wikidata.org/prop/direct/P355,relation,P355,,relation
http://www.wikidata.org/prop/direct/P358,relation,P358,,relation
http://www.wikidata.org/prop/direct/P36,relation,P36,,relation
http://www.wikidata.org/prop/direct/P3602,relation,P3602,,relation
http://www.wikidata.org/prop/direct/P361,relation,P361,,relation
http://www.wikidata.org/prop/direct/P364,relation,original language,,relation
http://www.wikidata.org/prop/direct/P3650,relation,P3650,,relation
http://www.wikidata.org/prop/direct/P366,relation,P366,,relation
http://www.wikidata.org/prop/direct/P37,relation,P37,,relation
http://www.wikidata.org/prop/direct/P371,relation,P371,,relation
http://www.wikidata.org/prop/direct/P3712,relation,P3712,,relation
http://www.wikidata.org/prop/direct/P3716,relation,P3716,,relation
http://www.wikidata.org/prop/direct/P38,relation,P38,,relation
http://www.wikidata.org/prop/direct/P3803,relation,P3803,,relation
http://www.wikidata.org/prop/direct/P3818,relation,P3818,,relation
http://www.wikidata.org/prop/direct/P3823,relation,P3823,,relation
http://www.wikidata.org/prop/direct/P3828,relation,P3828,,relation
http://www.wikidata.org/prop/direct/P3834,relation,P3834,,relation
http://www.wikidata.org/prop/direct/P3842,relation,P3842,,relation
http://www.wikidata.org/prop/direct/P39,relation,P39,,relation
http://www.wikidata.org/prop/direct/P3919,relation,P3919,,relation
http://www.wikidata.org/prop/direct/P3938,relation,P3938,,relation
http://www.wikidata.org/prop/direct/P397,relation,P397,,relation
http://www.wikidata.org/prop/direct/P398,relation,P398,,relation
http://www.wikidata.org/prop/direct/P3989,relation,P3989,,relation
http://www.wikidata.org/prop/direct/P40,relation,P40,,relation
http://www.wikidata.org/prop/direct/P400,relation,P400,,relation
http://www.wikidata.org/prop/direct/P404,relation,P404,,relation
http://www.wikidata.org/prop/direct/P406,relation,P406,,relation
http://www.wikidata.org/prop/direct/P407,relation,P407,,relation
http://www.wikidata.org/prop/direct/P408,relation,P408,,relation
http://www.wikidata.org/prop/direct/P4082,relation,P4082,,relation
http://www.wikidata.org/prop/direct/P410,relation,P410,,relation
http://www.wikidata.org/prop/direct/P411,relation,P411,,relation
http://www.wikidata.org/prop/direct/P412,relation,P412,,relation
http://www.wikidata.org/prop/direct/P413,relation,P413,,relation
http://www.wikidata.org/prop/direct/P4132,relation,P4132,,relation
http://www.wikidata.org/prop/direct/P4151,relation,P4151,,relation
http://www.wikidata.org/prop/direct/P417,relation,P417,,relation
http://www.wikidata.org/prop/direct/P418,relation,P418,,relation
http://www.wikidata.org/prop/direct/P4185,relation,P4185,,relation
http://www.wikidata.org/prop/direct/P421,relation,P421,,relation
http://www.wikidata.org/prop/direct/P423,relation,P423,,relation
http://www.wikidata.org/prop/direct/P425,relation,P425,,relation
http://www.wikidata.org/prop/direct/P4312,relation,P4312,,relation
http://www.wikidata.org/prop/direct/P437,relation,P437,,relation
http://www.wikidata.org/prop/direct/P4437,relation,P4437,,relation
http://www.wikidata.org/prop/direct/P449,relation,P449,,relation
http://www.wikidata.org/prop/direct/P450,relation,P450,,relation
http://www.wikidata.org/prop/direct/P451,relation,P451,,relation
http://www.wikidata.org/prop/direct/P452,relation,P452,,relation
http://www.wikidata.org/prop/direct/P4552,relation,P4552,,relation
http://www.wikidata.org/prop/direct/P4584,relation,P4584,,relation
http://www.wikidata.org/prop/direct/P460,relation,P460,,relation
http://www.wikidata.org/prop/direct/P4608,relation,P4608,,relation
http://www.wikidata.org/prop/direct/P461,relation,P461,,relation
http://www.wikidata.org/prop/direct/P4614,relation,P4614,,relation
http://www.wikidata.org/prop/direct/P462,relation,P462,,relation
http://www.wikidata.org/prop/direct/P463,relation,P463,,relation
http://www.wikidata.org/prop/direct/P4647,relation,P4647,,relation
http://www.wikidata.org/prop/direct/P466,relation,P466,,relation
http://www.wikidata.org/prop/direct/P4675,relation,P4675,,relation
http://www.wikidata.org/prop/direct/P47,relation,P47,,relation
http://www.wikidata.org/prop/direct/P4743,relation,P4743,,relation
http://www.wikidata.org/prop/direct/P479,relation,P479,,relation
http://www.wikidata.org/prop/direct/P4805,relation,P4805,,relation
http://www.wikidata.org/prop/direct/P483,relation,P483,,relation
http://www.wikidata.org/prop/direct/P485,relation,P485,,relation
http://www.wikidata.org/prop/direct/P488,relation,P488,,relation
http://www.wikidata.org/prop/direct/P4908,relation,P4908,,relation
http://www.wikidata.org/prop/direct/P495,relation,country of origin,,relation
http://www.wikidata.org/prop/direct/P4969,relation,P4969,,relation
http://www.wikidata.org/prop/direct/P50,relation,author,,relation
http://www.wikidata.org/prop/direct/P5021,relation,P5021,,relation
http://www.wikidata.org/prop/direct/P5025,relation,P5025,,relation
http://www.wikidata.org/prop/direct/P5028,relation,P5028,,relation
http://www.wikidata.org/prop/direct/P5056,relation,P5056,,relation
http://www.wikidata.org/prop/direct/P5072,relation,P5072,,relation
http://www.wikidata.org/prop/direct/P509,relation,P509,,relation
http://www.wikidata.org/prop/direct/P5096,relation,P5096,,relation
http://www.wikidata.org/prop/direct/P5109,relation,P5109,,relation
http://www.wikidata.org/prop/direct/P511,relation,P511,,relation
http://www.wikidata.org/prop/direct/P5110,relation,P5110,,relation
http://www.wikidata.org/prop/direct/P512,relation,P512,,relation
http://www.wikidata.org/prop/direct/P5126,relation,P5126,,relation
http://www.wikidata.org/prop/direct/P5150,relation,P5150,,relation
http://www.wikidata.org/prop/direct/P5152,relation,P5152,,relation
http://www.wikidata.org/prop/direct/P520,relation,P520,,relation
http://www.wikidata.org/prop/direct/P5201,relation,P5201,,relation
http://www.wikidata.org/prop/direct/P521,relation,P521,,relation
http://www.wikidata.org/prop/direct/P527,relation,P527,,relation
http://www.wikidata.org/prop/direct/P53,relation,P53,,relation
http://www.wikidata.org/prop/direct/P530,relation,P530,,relation
http://www.wikidata.org/prop/direct/P5323,relation,P5323,,relation
http://www.wikidata.org/prop/direct/P533,relation,P533,,relation
http://www.wikidata.org/prop/direct/P5389,relation,P5389,,relation
http://www.wikidata.org/prop/direct/P54,relation,P54,,relation
http://www.wikidata.org/prop/direct/P547,relation,P547,,relation
http://www.wikidata.org/prop/direct/P551,relation,P551,,relation
http://www.wikidata.org/prop/direct/P552,relation,P552,,relation
http://www.wikidata.org/prop/direct/P559,relation,P559,,relation
http://www.wikidata.org/prop/direct/P5642,relation,P5642,,relation
http://www.wikidata.org/prop/direct/P5658,relation,P5658,,relation
http://www.wikidata.org/prop/direct/P57,relation,director,,relation
http://www.wikidata.org/prop/direct/P5707,relation,P5707,,relation
http://www.wikidata.org/prop/direct/P58,relation,screenwriter,,relation
http://www.wikidata.org/prop/direct/P5800,relation,P5800,,relation
http://www.wikidata.org/prop/direct/P5816,relation,P5816,,relation
http://www.wikidata.org/prop/direct/P5817,relation,P5817,,relation
http://www.wikidata.org/prop/direct/P5869,relation,P5869,,relation
http://www.wikidata.org/prop/direct/P5940,relation,P5940,,relation
http://www.wikidata.org/prop/direct/P5970,relation,P5970,,relation
http://www.wikidata.org/prop/direct/P598,relation,P598,,relation
http://www.wikidata.org/prop/direct/P6,relation,P6,,relation
http://www.wikidata.org/prop/direct/P607,relation,P607,,relation
http://www.wikidata.org/prop/direct/P6087,relation,P6087,,relation
http://www.wikidata.org/prop/direct/P61,relation,P61,,relation
http://www.wikidata.org/prop/direct/P610,relation,P610,,relation
http://www.wikidata.org/prop/direct/P6106,relation,P6106,,relation
http://www.wikidata.org/prop/direct/P611,relation,P611,,relation
http://www.wikidata.org/prop/direct/P6166,relation,P6166,,relation
http://www.wikidata.org/prop/direct/P6275,relation,P6275,,relation
http://www.wikidata.org/prop/direct/P629,relation,P629,,relation
http://www.wikidata.org/prop/direct/P6291,relation,P6291,,relation
http://www.wikidata.org/prop/direct/P631,relation,P631,,relation
http://www.wikidata.org/prop/direct/P6364,relation,P6364,,relation
http://www.wikidata.org/prop/direct/P6379,relation,P6379,,relation
http://www.wikidata.org/prop/direct/P641,relation,P641,,relation
http://www.wikidata.org/prop/direct/P647,relation,P647,,relation
http://www.wikidata.org/prop/direct/P6477,relation,P6477,,relation
http://www.wikidata.org/prop/direct/P655,relation,P655,,relation
http://www.wikidata.org/prop/direct/P658,relation,P658,,relation
http://www.wikidata.org/prop/direct/P66,relation,P66,,relation
http://www.wikidata.org/prop/direct/P664,relation,P664,,relation
http://www.wikidata.org/prop/direct/P6658,relation,P6658,,relation
http://www.wikidata.org/prop/direct/P669,relation,P669,,relation
http://www.wikidata.org/prop/direct/P674,relation,P674,,relation
http://www.wikidata.org/prop/direct/P6758,relation,P6758,,relation
http://www.wikidata.org/prop/direct/P676,relation,P676,,relation
http://www.wikidata.org/prop/direct/P6872,relation,P6872,,relation
